department_descr,product_group_descr,product_module_descr,rating_avg,rating_normalized
DRY GROCERY,BAKING MIXES,MIXES - HUSHPUPPY,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING MIXES,MIXES-FROSTING,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING MIXES,MIXES-PIE CRUST,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING MIXES,MIXES-DUMPLING & KUGEL,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING MIXES,MIXES - PANCAKE,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING MIXES,PERISHABLE BREAD MIX,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING MIXES,PERISHABLE MIXES - PANCAKE,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING MIXES,PERISHABLE DESSERT MIX,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,CAPERS,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,MATZO MEAL/MIXES,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,BREADING PRODUCTS,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,CROUTONS,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,PIE & PASTRY SHELLS-PREPARED,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,STUFFING PRODUCTS,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,FROSTING - REFRIGERATED/FROZEN,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,FROSTING READY-TO-SPREAD,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,FOOD COLORING,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,CAKE DECORATIONS & ICING,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,YEAST - DRY,4.03465346534654,0.29361500846545
DRY GROCERY,BAKING SUPPLIES,GRAHAM CRACKER & DESSERT CRUMBS,4.03465346534654,0.29361500846545
